nombreEquipo;nombreJugador%precioJugador%posicionJugador
AC Ajaccio;Bevic Selad Moussiti-Oko%1800000.0%defensa
Minnesota United FC;Justin Cameron McMaster%450000.0%arquero
Racing Club de Lens;Ignatius Kpene Ganago%6500000.0%medioCampista
US Salernitana 1919;Ramzi Aye%825000.0%delantero
FC Lokomotiv Moscow;Nayair Tiknizyan%1900000.0%defensa
Panathinaikos FC;Fotis Ioannidis%2700000.0%arquero
Seattle Sounders FC;Shandon Hopeau%275000.0%medioCampista
FC Luzern;Ibrahima Ndiaye%4200000.0%delantero
Brentford;Kristoffer Vassbakk Ajer%11500000.0%defensa
AC Milan;Olivier Giroud%8500000.0%arquero
SC Rheindorf Altach;Atdhe Nuhiu%725000.0%medioCampista
Parma;Elias Cobbaut%2600000.0%delantero
Tokushima Vortis;Kazuki Nishiya%900000.0%defensa
1. FC Kaiserslautern;Muhammed Enes Kiprit%1300000.0%arquero
SV Ried;Tin Plavotić%1200000.0%medioCampista
IK Sirius;Edi Sylisufaj%1100000.0%delantero
Venezia FC;Pasquale Mazzocchi%1400000.0%defensa
SK Rapid Wien;Kevin Wimmer%1200000.0%arquero
1. FC Kaiserslautern;Elias Huth%700000.0%medioCampista
Paris Saint-Germain;Leandro Daniel Paredes%28000000.0%delantero
Sydney FC;Adam Jeremy Pavlesic%275000.0%defensa
Coventry City;Jordan Shipley%1100000.0%arquero
Eintracht Frankfurt;Kevin Trapp%20500000.0%medioCampista
Brisbane Roar;Jesse Daley%450000.0%delantero
Getafe CF;Jonathan Cristian Silva%4400000.0%defensa
Houston Dynamo;Carlos Darwin Quintero Villalba%1900000.0%arquero
SK Rapid Wien;Kevin Wimmer%1200000.0%medioCampista
Legia Warszawa;Jakub Kisiel%350000.0%delantero
Longford Town;Callum Niall Thompson%240000.0%defensa
Molde FK;Birk Risa%2600000.0%arquero
Flamengo;Daniel Clayton Fachini Lobato%2800000.0%medioCampista
Sint-Truidense VV;Kenny Steppe%500000.0%delantero
Defensa y Justicia;Luis Ezequiel Unsain%5500000.0%defensa
Torino F.C.;Karol Linetty%5000000.0%arquero
SV Ried;Constantin Reiner%1600000.0%medioCampista
Al Ittihad;Abdulaziz Al Jebreen%400000.0%delantero
FC Girondins de Bordeaux;Davy Rouyard%700000.0%defensa
SC Paderborn 07;Jamilu Collins%1600000.0%arquero
AC Monza;Michele Di Gregorio%1700000.0%medioCampista
Kalmar FF;Jan Douglas Bergqvist%475000.0%delantero
Cardiff City;Aden Flint%1300000.0%defensa
Chennaiyin FC;Balaji Ganesan%110000.0%arquero
Perth Glory;Bradley Scott Jones%150000.0%medioCampista
1. FC Kaiserslautern;Maximilian Hippe%475000.0%delantero
Shrewsbury Town;George Damien Nurse%700000.0%defensa
SC East Bengal FC;Joyner Lourenco%90000.0%arquero
Holstein Kiel;Fin Bartels%2000000.0%medioCampista
Tokushima Vortis;Akihiro Sato%230000.0%delantero
Chicago Fire Football Club;Christopher Brady%220000.0%defensa
Al Fayha;Mohammed Kareem Al Baqawi%400000.0%arquero
Dundee United;Ian Andrew Harkes%875000.0%medioCampista
Toulouse Football Club;Nathan N'Goumou Minpole%725000.0%delantero
Sint-Truidense VV;Wim Vanmarsenille%325000.0%defensa
Chicago Fire Football Club;Jonathan Rey Bornstein%230000.0%arquero
Portimonense SC;Filipe Bem Relvas V. Oliveira%1300000.0%medioCampista
Benevento;Enrico Brignola%2700000.0%delantero
SC Bastia;Gary Coulibaly%110000.0%defensa
